accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,injuryStatusParticipant10,injuryStatusParticipant11,latitude,longitude,cluster
2024-08-06,7:20:00 PM,вівторок,місто,Львів,Залізничний,вулиця,Кульпарківська,200а,,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,3,без ушкоджень,легко травмований,легко травмований,,,,,,,,,49.818002,23.987322,0
2024-07-21,7:40:00 PM,неділя,місто,Львів,Галицький,вулиця,Князя Романа,20,,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення швидкості руху,2,без ушкоджень,легко травмований,,,,,,,,,,49.83809,24.03277,4
2024-07-20,11:45:00 AM,субота,місто,Львів,Франківський,вулиця,Княгині Ольги,5а,,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,,,,,,,,,,49.822584,24.006779,0
2024-07-28,2:20:00 PM,неділя,місто,Львів,Личаківський,вулиця,Пасічна,,вул. Пасічна - вул. Китайська,падіння пасажира,порушення техніки безпеки пасажиром,2,без ушкоджень,легко травмований,,,,,,,,,,49.821742,24.075496,1
2024-07-21,4:59:00 PM,неділя,місто,Львів,Залізничний,вулиця,Городоцька,116,,падіння пасажира,порушення правил маневрування,2,без ушкоджень,легко травмований,,,,,,,,,,49.838059,24.006581,0
2024-07-21,10:45:00 PM,неділя,місто,Львів,Залізничний,вулиця,Любінська,96,,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,,,,,,,,,49.823563,23.976202,0
2024-08-06,3:03:00 PM,вівторок,місто,Львів,Шевченківський,вулиця,"Мазепи І., гетьм.",255,,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,,,,,,,,,,49.87199552806386,24.04051520090445,4
2024-07-21,7:41:00 PM,неділя,місто,Львів,Галицький,вулиця,Театральна,7,,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,,,,,,,,,,49.840567,24.029991,4
2024-07-22,1:46:00 PM,понеділок,місто,Львів,Галицький,вулиця,Стрийська,44,,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,,,,,,,,,,49.826463,24.027749,4
2024-08-08,2:55:00 AM,четвер,місто,Львів,Франківський,вулиця,Стрийська,,вул. Стрийська - вул. Наукова,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,,,,,,,,,49.801876,24.017894,2
2024-07-16,12:36:00 PM,вівторок,місто,Львів,Галицький,проспект,"Свободи, просп.",7,,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду нерегульованих пішохідних переходів,2,без ушкоджень,легко травмований,,,,,,,,,,49.840304,24.028012,4
2024-07-20,4:14:00 PM,субота,місто,Львів,Сихівський,вулиця,Угорська,3,,перекидання тз,порушення правил маневрування,1,легко травмований,,,,,,,,,,,49.812584,24.039395,2
2024-07-29,11:30:00 PM,понеділок,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",12,,зіткнення лобове,недодержання дистанції,3,без ушкоджень,без ушкоджень,легко травмований,,,,,,,,,49.856281,24.022771,4
2024-08-01,12:02:00 PM,четвер,місто,Львів,Франківський,вулиця,Володимира Великого,103,,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил під час руху заднім ходом,2,без ушкоджень,легко травмований,,,,,,,,,,49.81103,23.994001,0
2024-07-11,11:40:00 AM,четвер,місто,Львів,Сихівський,вулиця,Гориня М.,12,,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,,,,,,,,,49.789178,24.058208,2
2024-07-14,6:02:00 PM,неділя,місто,Львів,Галицький,площа,"Ринок, пл.",,,перекидання тз,порушення правил маневрування,1,легко травмований,,,,,,,,,,,49.84134928163099,24.03163611930284,4
2024-07-22,10:15:00 PM,понеділок,місто,Львів,Сихівський,вулиця,Стрийська,,,наїзд на пішохода - на нерегульованому пішохідному переході,перехід пішоходів у невстановленому місці,2,без ушкоджень,легко травмований,,,,,,,,,,49.79807649468763,24.017386260849094,2
2024-08-12,5:55:00 PM,понеділок,місто,Львів,Франківський,вулиця,Кульпарківська,141,,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,тяжко травмований,,,,,,,,,,49.805077,23.983211,0
2024-08-04,12:10:00 PM,неділя,місто,Львів,Шевченківський,вулиця,Липинського В.,44,,наїзд на пішохода - пішохід переходив дорогу поза межами піш. переходу,невиконання вимог сигналів регулювання,2,без ушкоджень,легко травмований,,,,,,,,,,49.863761,24.033864,4
2024-08-03,3:55:00 PM,субота,місто,Львів,Галицький,вулиця,Городоцька,67,,наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці,порушення правил маневрування,2,легко травмований,легко травмований,,,,,,,,,,49.841954,24.016679,4
